"GEO_ID","NAME","B03002_001E","B03002_001M","B03002_002E","B03002_002M","B03002_003E","B03002_003M","B03002_004E","B03002_004M","B03002_005E","B03002_005M","B03002_006E","B03002_006M","B03002_007E","B03002_007M","B03002_008E","B03002_008M","B03002_009E","B03002_009M","B03002_010E","B03002_010M","B03002_011E","B03002_011M","B03002_012E","B03002_012M","B03002_013E","B03002_013M","B03002_014E","B03002_014M","B03002_015E","B03002_015M","B03002_016E","B03002_016M","B03002_017E","B03002_017M","B03002_018E","B03002_018M","B03002_019E","B03002_019M","B03002_020E","B03002_020M","B03002_021E","B03002_021M"
"id","Geographic Area Name","Estimate!!Total:","Margin of Error!!Total:","Estimate!!Total:!!Not Hispanic or Latino:","Margin of Error!!Total:!!Not Hispanic or Latino:","Estimate!!Total:!!Not Hispanic or Latino:!!White alone","Margin of Error!!Total:!!Not Hispanic or Latino:!!White alone","Estimate!!Total:!!Not Hispanic or Latino:!!Black or African American alone","Margin of Error!!Total:!!Not Hispanic or Latino:!!Black or African American alone","Estimate!!Total:!!Not Hispanic or Latino:!!American Indian and Alaska Native alone","Margin of Error!!Total:!!Not Hispanic or Latino:!!American Indian and Alaska Native alone","Estimate!!Total:!!Not Hispanic or Latino:!!Asian alone","Margin of Error!!Total:!!Not Hispanic or Latino:!!Asian alone","Estimate!!Total:!!Not Hispanic or Latino:!!Native Hawaiian and Other Pacific Islander alone","Margin of Error!!Total:!!Not Hispanic or Latino:!!Native Hawaiian and Other Pacific Islander alone","Estimate!!Total:!!Not Hispanic or Latino:!!Some other race alone","Margin of Error!!Total:!!Not Hispanic or Latino:!!Some other race alone","Estimate!!Total:!!Not Hispanic or Latino:!!Two or more races:","Margin of Error!!Total:!!Not Hispanic or Latino:!!Two or more races:","Estimate!!Total:!!Not Hispanic or Latino:!!Two or more races:!!Two races including Some other race","Margin of Error!!Total:!!Not Hispanic or Latino:!!Two or more races:!!Two races including Some other race","Estimate!!Total:!!Not Hispanic or Latino:!!Two or more races:!!Two races excluding Some other race, and three or more races","Margin of Error!!Total:!!Not Hispanic or Latino:!!Two or more races:!!Two races excluding Some other race, and three or more races","Estimate!!Total:!!Hispanic or Latino:","Margin of Error!!Total:!!Hispanic or Latino:","Estimate!!Total:!!Hispanic or Latino:!!White alone","Margin of Error!!Total:!!Hispanic or Latino:!!White alone","Estimate!!Total:!!Hispanic or Latino:!!Black or African American alone","Margin of Error!!Total:!!Hispanic or Latino:!!Black or African American alone","Estimate!!Total:!!Hispanic or Latino:!!American Indian and Alaska Native alone","Margin of Error!!Total:!!Hispanic or Latino:!!American Indian and Alaska Native alone","Estimate!!Total:!!Hispanic or Latino:!!Asian alone","Margin of Error!!Total:!!Hispanic or Latino:!!Asian alone","Estimate!!Total:!!Hispanic or Latino:!!Native Hawaiian and Other Pacific Islander alone","Margin of Error!!Total:!!Hispanic or Latino:!!Native Hawaiian and Other Pacific Islander alone","Estimate!!Total:!!Hispanic or Latino:!!Some other race alone","Margin of Error!!Total:!!Hispanic or Latino:!!Some other race alone","Estimate!!Total:!!Hispanic or Latino:!!Two or more races:","Margin of Error!!Total:!!Hispanic or Latino:!!Two or more races:","Estimate!!Total:!!Hispanic or Latino:!!Two or more races:!!Two races including Some other race","Margin of Error!!Total:!!Hispanic or Latino:!!Two or more races:!!Two races including Some other race","Estimate!!Total:!!Hispanic or Latino:!!Two or more races:!!Two races excluding Some other race, and three or more races","Margin of Error!!Total:!!Hispanic or Latino:!!Two or more races:!!Two races excluding Some other race, and three or more races"
"0400000US01","Alabama","4876250","*****","4667624","582","3194929","1002","1291524","2528","22740","938","65410","1159","1603","248","8083","1328","83335","2427","2067","537","81268","2446","208626","582","125318","2909","7524","1174","2825","774","860","305","635","484","62579","2834","8885","981","4866","793","4019","740"
"0400000US02","Alaska","737068","*****","685198","128","446897","670","22857","758","106271","1412","44917","847","9013","404","1679","671","53564","2111","725","274","52839","2065","51870","128","29118","1531","1348","308","3480","766","1003","389","191","126","9629","1416","7101","750","2286","412","4815","649"
"0400000US04","Arizona","7050299","*****","4841636","*****","3857007","1297","297107","2751","276396","2191","226597","2187","12878","515","10622","1464","161029","3785","5094","611","155935","3748","2208663","*****","1587446","12116","20355","1679","41018","2773","6616","854","1580","377","449640","9613","102008","4275","45580","2732","56428","3130"
"0400000US05","Arkansas","2999370","*****","2775240","236","2172453","725","456899","1847","17652","1081","44927","1000","8614","689","4858","936","69837","2438","1376","348","68461","2386","224130","236","128591","3127","2643","561","2782","610","577","228","119","91","78718","3199","10700","1090","6282","897","4418","718"
"0400000US06","California","39283497","*****","23955809","*****","14605312","3168","2169155","6936","140831","2516","5610931","9199","140788","2224","100119","3715","1188673","14463","51857","2397","1136816","13977","15327688","*****","8847910","32061","104953","4216","163167","6050","81492","3281","14502","1397","5381673","37257","733991","15040","363037","9443","370954","7871"
"0400000US08","Colorado","5610349","*****","4402177","407","3818321","1022","221526","2310","30393","1054","174660","1945","7618","588","10323","1229","139336","3228","4668","727","134668","3120","1208172","407","894253","6276","12121","1201","24454","1900","3487","624","1025","462","206444","5718","66388","2986","29214","1926","37174","2397"
"0400000US09","Connecticut","3575074","*****","3000834","*****","2392013","1198","354120","2527","5596","574","159989","1538","754","217","11961","1331","76401","3034","5217","792","71184","3039","574240","*****","322018","5598","29296","2157","4359","741","1268","292","369","170","174331","5331","42599","3006","19926","2076","22673","1936"
"0400000US10","Delaware","957248","*****","868884","*****","596497","515","207402","1458","2825","282","36656","726","330","97","2436","699","22738","1564","1131","469","21607","1548","88364","*****","61740","1785","4900","711","904","436","353","149","212","294","15914","1418","4341","674","1928","383","2413","589"
"0400000US11","District of Columbia","692683","*****","616492","*****","253373","417","314774","1115","1418","200","27188","632","307","64","2807","776","16625","1183","828","238","15797","1136","76191","*****","32484","1791","6037","1005","673","438","404","195","69","52","31704","1817","4820","727","2209","498","2611","519"
