COVID-19 Vaccinations in the United States
Date generated: Sat May 22 2021 13:48:18 GMT-0400 (Eastern Daylight Time)
State/Territory/Federal Entity,Total Doses Delivered,Doses Delivered per 100K,18+ Doses Delivered per 100K,Total Doses Administered by State where Administered,Doses Administered per 100k by State where Administered,18+ Doses Administered by State where Administered,18+ Doses Administered per 100K by State where Administered,People with at least One Dose by State of Residence,Percent of Total Pop with at least One Dose by State of Residence,People 18+ with at least One Dose by State of Residence,Percent of 18+ Pop with at least One Dose by State of Residence,People Fully Vaccinated by State of Residence,Percent of Total Pop Fully Vaccinated by State of Residence,People 18+ Fully Vaccinated by State of Residence,Percent of 18+ Pop Fully Vaccinated by State of Residence,Total Number of Pfizer doses delivered,Total Number of Moderna doses delivered,Total Number of Janssen doses delivered,Total Number of doses from unknown manufacturer delivered,Total Number of Janssen doses administered,Total Number of Moderna doses administered,Total Number of Pfizer doses adminstered,Total Number of doses from unknown manufacturer administered,People Fully Vaccinated Moderna Resident,People Fully Vaccinated Pfizer Resident,People Fully Vaccinated Janssen Resident,People Fully Vaccinated Unknown 2-dose manufacturer Resident,People 18+ Fully Vaccinated Moderna Resident,People 18+ Fully Vaccinated Pfizer Resident,People 18+ Fully Vaccinated Janssen Resident,People 18+ Fully Vaccinated Unknown 2-dose manufacturer Resident,People with 2 Doses by State of Residence,Percent of Total Pop with 1+ Doses by State of Residence,People 18+ with 1+ Doses by State of Residence,Percent of 18+ Pop with 1+ Doses by State of Residence,Percent of Total Pop with 2 Doses by State of Residence,People 18+ with 2 Doses by State of Residence,Percent of 18+ Pop with 2 Doses by State of Residence,People with 1+ Doses by State of Residence,People 65+ with at least One Dose by State of Residence,Percent of 65+ Pop with at least One Dose by State of Residence,People 65+ Fully Vaccinated by State of Residence,Percent of 65+ Pop Fully Vaccinated by State of Residence,People 65+ Fully Vaccinated_Moderna_Resident,People 65+ Fully Vaccinated_Pfizer_Resident,People 65+ Fully Vaccinated_Janssen_Resident,People 65+ Fully Vaccinated_Unknown 2-dose Manuf_Resident,65+ Doses Administered by State where Administered,Doses Administered per 100k of 65+ pop by State where Administered,Doses Delivered per 100k of 65+ pop,People 12+ with at least One Dose by State of Residence,Percent of 12+ Pop with at least One Dose by State of Residence,People 12+ Fully Vaccinated by State of Residence,Percent of 12+ Pop Fully Vaccinated by State of Residence,People 12+ Fully Vaccinated_Moderna_Resident,People 12+ Fully Vaccinated_Pfizer_Resident,People 12+ Fully Vaccinated_Janssen_Resident,People 12+ Fully Vaccinated_Unknown 2-dose Manuf_Resident,12+ Doses Administered by State where Administered,Doses Administered per 100k of 12+ pop by State where Administered,Doses Delivered per 100k of 12+ pop
Alaska,801405,109550,145297,595885,81456,576900,104594,327119,44.7,314555,57,280509,38.3,274015,49.7,395265,348140,58000,0,18494,262927,314375,89,120681,142609,17194,25,120386,136486,17118,25,263315,44.7,314555,57,36,256897,46.6,327119,72746,79.4,68030,74.3,38800,27282,1933,15,137076,149666,875011,326724,53.7,280503,46.1,120679,142607,17192,25,595493,97802,131620
Alabama,4449370,90744,116632,2945488,60073,2920485,76555,1727437,35.2,1710117,44.8,1387356,28.3,1379181,36.2,2177370,2002000,270000,0,93620,1415732,1436136,0,628055,663697,95522,82,627885,655734,95480,82,1291834,35.2,1710117,44.8,26.3,1283701,33.6,1727437,641031,75.4,546716,64.3,289531,229408,27727,50,1138553,133973,523556,1727153,41.3,1387342,33.1,628049,663691,95520,82,2945203,70344,106269
Arkansas,2737020,90696,118095,2002891,66369,1968588,84939,1154071,38.2,1129934,48.8,901190,29.9,890679,38.4,1345500,1216120,175400,0,63264,947316,991801,510,416409,422862,61794,125,415829,413235,61493,122,839396,38.2,1129934,48.8,27.8,829186,35.8,1154071,393800,75.2,326111,62.2,188654,127398,9973,86,712223,135951,522450,1152335,45.1,901045,35.2,416405,422827,61688,125,2001096,78252,107030
American Samoa,54030,97021,124387,41907,75252,40401,93011,23160,41.6,22289,51.3,18900,33.9,18269,42.1,37830,15600,600,0,26,9959,31922,0,4293,14574,33,0,4281,13955,33,0,18867,41.6,22289,51.3,33.9,18236,42,23160,2531,26.7,2274,24,907,1360,7,0,4717,49826,570719,23159,48.7,18899,39.7,4292,14574,33,0,41905,88115,113611
Arizona,7627825,104796,135282,5718183,78560,5594675,99223,3240593,44.5,3156801,56,2498817,34.3,2462747,43.7,4028505,3185320,414000,0,176360,2510132,3027683,4008,1040306,1287438,169763,1310,1040077,1251704,169659,1307,2329054,44.5,3156801,56,32,2293088,40.7,3240593,1065868,81.4,886621,67.8,436291,417334,32188,808,2000354,152858,582885,3240284,52.2,2498747,40.3,1040293,1287415,169729,1310,5717783,92132,122909
Bureau of Prisons,182890,N/A,N/A,175769,N/A,175768,N/A,97872,N/A,97871,N/A,82347,N/A,82347,N/A,99450,73340,10100,0,5279,70449,100041,0,30671,46421,5255,0,30671,46421,5255,0,77092,N/A,97871,N/A,0,77092,0,97872,3212,0,2887,0,1399,1416,72,0,6063,0,0,97871,0,82347,0,30671,46421,5255,0,175768,0,0
California,45922020,116222,149986,36377958,92068,35313206,115336,21531027,54.5,20767740,67.8,15907632,40.3,15602138,51,24416340,18934180,2571500,0,1271425,15468019,19634006,4508,6443114,8202320,1261016,1182,6430068,7914814,1256100,1156,14646616,54.5,20767740,67.8,37.1,14346038,46.9,21531027,5244090,89.8,4122106,70.6,2129097,1860185,132317,507,9313624,159531,786590,21507850,63.9,15906704,47.3,6442748,8202008,1260767,1181,36354049,108048,136485
Colorado,6575200,114178,146141,5287276,91813,5146333,114383,2959897,51.4,2863228,63.6,2436954,42.3,2392373,53.2,3508440,2741360,325400,0,175783,2322165,2787918,1410,1033238,1229776,173535,405,1031121,1188034,172818,400,2263419,51.4,2863228,63.6,39.3,2219555,49.3,2959897,716174,85,638596,75.8,319202,303337,15883,174,1362468,161734,780521,2957430,59.9,2436913,49.4,1033228,1229762,173518,405,5284770,107065,133207
Connecticut,4410955,123719,155433,3836435,107605,3715458,130925,2164655,60.7,2078912,73.3,1793724,50.3,1761022,62.1,2380755,1787500,242700,0,146269,1528216,2161646,304,684386,962887,146379,72,684063,930638,146252,69,1647345,60.7,2078912,73.3,46.2,1614770,56.9,2164655,583403,92.6,534676,84.8,209776,309860,15016,24,1115897,177058,699881,2163538,69.7,1793338,57.7,684190,962764,146312,72,3834954,123471,142016
District of Columbia,1004165,142284,173857,748358,106037,742239,128508,388817,55.1,383000,66.3,302802,42.9,301190,52.1,550485,400480,53200,0,23714,295883,428587,174,114499,160675,27484,144,114470,159112,27466,142,275318,55.1,383000,66.3,39,273724,47.4,388817,71115,81.4,61242,70.1,35122,24244,1860,16,160140,183346,1149680,388765,63.8,302788,49.7,114495,160667,27482,144,748297,122721,164684
